ONTOLOGY,ID,Description,BgRatio,pvalue,p.adjust,qvalue,geneID,Count,GeneRatio,panel,comparison,neg_log10_pvalue
BP,GO:0030099,myeloid cell differentiation,381/18723,1.26672534414e-05,0.0030245471472622,0.0025489488792021,FOS/JUNB/JUN/TGFBR3/HSPA1A/ZFP36/HSPA1B/INHBA/ZFP36L1/MAFB/ID2,11,11/108,G,LCa_disease_vs_ctrl,4.897317540171812
BP,GO:0030308,negative regulation of cell growth,188/18723,1.33122673735e-05,0.0030245471472622,0.0025489488792021,HSPA1A/HSPA1B/INHBA/BST2/SPAG9/RGS2/SMARCA2/RBBP7,8,8/108,G,LCa_disease_vs_ctrl,4.875747968271685
BP,GO:1901216,positive regulation of neuron death,97/18723,2.06783938542e-05,0.0042710282578857,0.0035994256862,FOS/EGR1/JUN/NUPR1/CAPN2/FIS1,6,6/108,G,LCa_disease_vs_ctrl,4.684483197074578
BP,GO:0034655,nucleobase-containing compound catabolic process,407/18723,2.33413166611e-05,0.0044192892878355,0.0037243732461883,HSPA1A/ZFP36/HSPA1B/ZFP36L2/ZFP36L1/HNRNPM/RBM8A/LRPPRC/DUT/TRIR/DICER1,11,11/108,G,LCa_disease_vs_ctrl,4.631874649467937
BP,GO:0045577,regulation of B cell differentiation,30/18723,2.5559982036e-05,0.0044670983989149,0.0037646645606126,ZFP36L2/INHBA/ZFP36L1/ID2,4,4/108,G,LCa_disease_vs_ctrl,4.592439455743246
BP,GO:0090084,negative regulation of inclusion body assembly,11/18723,2.97787470821e-05,0.0048326652407592,0.0040727474392796,HSPA1A/HSPA1B/DNAJB1,3,3/108,G,LCa_disease_vs_ctrl,4.526093578806043
BP,GO:0097201,negative regulation of transcription from RNA polymerase II promoter in response to stress,12/18723,3.95382886791e-05,0.0059887327919386,0.0050470278671869,JUN/HSPA1A/DNAJB1,3,3/108,G,LCa_disease_vs_ctrl,4.402982132020515
BP,GO:0061077,chaperone-mediated protein folding,67/18723,4.22806203204e-05,0.0060038480854999,0.005059766339661,HSPA1A/HSPA1B/HSPB6/PPIB/DNAJB1,5,5/108,G,LCa_disease_vs_ctrl,4.373858649563513
BP,GO:1903706,regulation of hemopoiesis,367/18723,5.21975982479e-05,0.0066351236998409,0.0055917763204274,FOS/JUN/HSPA1A/ZFP36/HSPA1B/ZFP36L2/INHBA/ZFP36L1/MAFB/ID2,10,10/108,G,LCa_disease_vs_ctrl,4.282349479596986
BP,GO:0046700,heterocycle catabolic process,445/18723,5.25670011431e-05,0.0066351236998409,0.0055917763204274,HSPA1A/ZFP36/HSPA1B/ZFP36L2/ZFP36L1/HNRNPM/RBM8A/LRPPRC/DUT/TRIR/DICER1,11,11/108,G,LCa_disease_vs_ctrl,4.279286798027274
BP,GO:0044270,cellular nitrogen compound catabolic process,451/18723,5.92867019982e-05,0.0067836543521307,0.0057169511056921,HSPA1A/ZFP36/HSPA1B/ZFP36L2/ZFP36L1/HNRNPM/RBM8A/LRPPRC/DUT/TRIR/DICER1,11,11/108,G,LCa_disease_vs_ctrl,4.2270427079249036
BP,GO:0033120,positive regulation of RNA splicing,37/18723,5.97152671842e-05,0.0067836543521307,0.0057169511056921,HSPA1A/RBM3/SRSF5/SF3B4,4,4/108,G,LCa_disease_vs_ctrl,4.223914620190764
BP,GO:0002761,regulation of myeloid leukocyte differentiation,120/18723,6.86762169494e-05,0.0074301126147197,0.0062617563223569,FOS/JUN/INHBA/ZFP36L1/MAFB/ID2,6,6/108,G,LCa_disease_vs_ctrl,4.163193636097768
BP,GO:0014706,striated muscle tissue development,384/18723,7.61090921276e-05,0.0076613447582609,0.0064566281112289,FOS/EGR1/TGFBR3/MYH11/NR2F2/RGS2/NUPR1/ID2/SGCB/NR1D2,10,10/108,G,LCa_disease_vs_ctrl,4.118563458538507
BP,GO:1900153,"positive regulation of nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay",15/18723,8.07471821051e-05,0.0076613447582609,0.0064566281112289,ZFP36/ZFP36L2/ZFP36L1,3,3/108,G,LCa_disease_vs_ctrl,4.092872624632268
BP,GO:0019439,aromatic compound catabolic process,467/18723,8.09296981506e-05,0.0076613447582609,0.0064566281112289,HSPA1A/ZFP36/HSPA1B/ZFP36L2/ZFP36L1/HNRNPM/RBM8A/LRPPRC/DUT/TRIR/DICER1,11,11/108,G,LCa_disease_vs_ctrl,4.091892079424243
BP,GO:0045926,negative regulation of growth,249/18723,9.79854575233e-05,0.0086497427598192,0.0072896043736615,HSPA1A/HSPA1B/INHBA/BST2/SPAG9/RGS2/SMARCA2/RBBP7,8,8/108,G,LCa_disease_vs_ctrl,4.008838375185396
BP,GO:1902895,positive regulation of pri-miRNA transcription by RNA polymerase II,42/18723,9.89847322866e-05,0.0086497427598192,0.0072896043736615,FOS/EGR1/JUN/KLF4,4,4/108,G,LCa_disease_vs_ctrl,4.004431787170362
MF,GO:0042826,histone deacetylase binding,127/18368,0.0001098474919782,0.0352610449250309,0.0320292160820907,HSPA1A/HSPA1B/KLF4/HES1/BHLHE41/RBBP4,6,6/109,G,LCa_disease_vs_ctrl,3.9592098543780874
BP,GO:0060537,muscle tissue development,403/18723,0.0001132936321063,0.0093752884449903,0.0079010608234977,FOS/EGR1/TGFBR3/MYH11/NR2F2/RGS2/NUPR1/ID2/SGCB/NR1D2,10,10/108,G,LCa_disease_vs_ctrl,3.945794499834883
BP,GO:0061158,3'-UTR-mediated mRNA destabilization,17/18723,0.0001196669739897,0.0093752884449903,0.0079010608234977,ZFP36/ZFP36L2/ZFP36L1,3,3/108,G,LCa_disease_vs_ctrl,3.9220256908054703
BP,GO:0090083,regulation of inclusion body assembly,17/18723,0.0001196669739897,0.0093752884449903,0.0079010608234977,HSPA1A/HSPA1B/DNAJB1,3,3/108,G,LCa_disease_vs_ctrl,3.9220256908054703
BP,GO:1901361,organic cyclic compound catabolic process,495/18723,0.0001352233128978,0.0099098714610462,0.0083515827407538,HSPA1A/ZFP36/HSPA1B/ZFP36L2/ZFP36L1/HNRNPM/RBM8A/LRPPRC/DUT/TRIR/DICER1,11,11/108,G,LCa_disease_vs_ctrl,3.8689484282903837
BP,GO:1900151,"regulation of nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay",18/18723,0.0001429983192388,0.0099098714610462,0.0083515827407538,ZFP36/ZFP36L2/ZFP36L1,3,3/108,G,LCa_disease_vs_ctrl,3.844669067077626
BP,GO:1901673,regulation of mitotic spindle assembly,18/18723,0.0001429983192388,0.0099098714610462,0.0083515827407538,HSPA1A/HSPA1B/CHMP5,3,3/108,G,LCa_disease_vs_ctrl,3.844669067077626
BP,GO:0016032,viral process,415/18723,0.0001439373935803,0.0099098714610462,0.0083515827407538,JUN/HSPA1A/ZFP36/HSPA1B/BST2/PCBP1/PPIB/GSN/CHMP5/LDLR,10,10/108,G,LCa_disease_vs_ctrl,3.8418263657859573
BP,GO:0043618,regulation of transcription from RNA polymerase II promoter in response to stress,47/18723,0.0001542818635459,0.0100329263788721,0.0084552877516532,EGR1/JUN/HSPA1A/DNAJB1,4,4/108,G,LCa_disease_vs_ctrl,3.81168512400088
BP,GO:0045598,regulation of fat cell differentiation,139/18723,0.0001545565243224,0.0100329263788721,0.0084552877516532,ZFP36/ADIRF/ZFP36L2/ZFP36L1/HES1/ID2,6,6/108,G,LCa_disease_vs_ctrl,3.8109126572625294
BP,GO:0048872,homeostasis of number of cells,272/18723,0.0001798894395583,0.0113530224076799,0.0095678038174433,TGFBR3/HSPA1A/ZFP36/HSPA1B/INHBA/ZFP36L1/MAFB/ID2,8,8/108,G,LCa_disease_vs_ctrl,3.7449943312413034
BP,GO:0002573,myeloid leukocyte differentiation,208/18723,0.0002039588936989,0.0125241785536208,0.0105548002173073,FOS/JUNB/JUN/INHBA/ZFP36L1/MAFB/ID2,7,7/108,G,LCa_disease_vs_ctrl,3.690457352371195
BP,GO:0007178,transmembrane receptor protein serine/threonine kinase signaling pathway,355/18723,0.0002152472576884,0.0128695202491605,0.0108458382752145,FOS/EGR1/JUN/TGFBR3/HSPA1A/INHBA/NBL1/LTBP4/HES1,9,9/108,G,LCa_disease_vs_ctrl,3.6670623728749216
BP,GO:0043620,regulation of DNA-templated transcription in response to stress,53/18723,0.0002466512251824,0.0143690149644743,0.0121095432822363,EGR1/JUN/HSPA1A/DNAJB1,4,4/108,G,LCa_disease_vs_ctrl,3.607916722939995
BP,GO:1902893,regulation of pri-miRNA transcription by RNA polymerase II,54/18723,0.0002652078513178,0.015063805954852,0.012695081093345,FOS/EGR1/JUN/KLF4,4,4/108,G,LCa_disease_vs_ctrl,3.576413623051867
BP,GO:0038066,p38MAPK cascade,55/18723,0.0002847465888779,0.0154034345221575,0.0129813043901985,GADD45B/ZFP36/ZFP36L1/GADD45G,4,4/108,G,LCa_disease_vs_ctrl,3.545541469848962
BP,GO:0061614,pri-miRNA transcription by RNA polymerase II,55/18723,0.0002847465888779,0.0154034345221575,0.0129813043901985,FOS/EGR1/JUN/KLF4,4,4/108,G,LCa_disease_vs_ctrl,3.545541469848962
BP,GO:0070841,inclusion body assembly,24/18723,0.000345870043624,0.0180498160432073,0.0152115527161759,HSPA1A/HSPA1B/DNAJB1,3,3/108,G,LCa_disease_vs_ctrl,3.461087051319499
BP,GO:0002763,positive regulation of myeloid leukocyte differentiation,58/18723,0.0003495562966114,0.0180498160432073,0.0152115527161759,FOS/JUN/ZFP36L1/ID2,4,4/108,G,LCa_disease_vs_ctrl,3.4564828704511332
BP,GO:0006417,regulation of translation,468/18723,0.000376422019916,0.0187223658113412,0.0157783466506809,ZFP36/RBM3/GAPDH/ZFP36L2/ZFP36L1/RGS2/CNBP/RBM8A/PPP1R15A/LRPPRC,10,10/108,G,LCa_disease_vs_ctrl,3.4243249791653607
BP,GO:0072012,glomerulus vasculature development,25/18723,0.0003913891599744,0.0187223658113412,0.0157783466506809,EGR1/ACTA2/HES1,3,3/108,G,LCa_disease_vs_ctrl,3.4073912068550616
BP,GO:0090169,regulation of spindle assembly,25/18723,0.0003913891599744,0.0187223658113412,0.0157783466506809,HSPA1A/HSPA1B/CHMP5,3,3/108,G,LCa_disease_vs_ctrl,3.4073912068550616
MF,GO:0031625,ubiquitin protein ligase binding,297/18368,0.0003935715269336,0.0454872172330361,0.0413181150141039,JUN/HSPA1A/UBC/SQSTM1/HSPA1B/TUBA1B/CKB/LRPPRC,8,8/109,G,LCa_disease_vs_ctrl,3.4049763282867067
BP,GO:0006402,mRNA catabolic process,232/18723,0.0003955429396762,0.0187223658113412,0.0157783466506809,HSPA1A/ZFP36/HSPA1B/ZFP36L2/ZFP36L1/HNRNPM/RBM8A,7,7/108,G,LCa_disease_vs_ctrl,3.4028063631089998
MF,GO:0035925,mRNA 3'-UTR AU-rich region binding,25/18368,0.000425114179748,0.0454872172330361,0.0413181150141039,ZFP36/ZFP36L2/ZFP36L1,3,3/109,G,LCa_disease_vs_ctrl,3.371494408832909
BP,GO:0061437,renal system vasculature development,27/18723,0.0004935887058212,0.02237318852596,0.0188550917015943,EGR1/ACTA2/HES1,3,3/108,G,LCa_disease_vs_ctrl,3.306634786283663
BP,GO:0061440,kidney vasculature development,27/18723,0.0004935887058212,0.02237318852596,0.0188550917015943,EGR1/ACTA2/HES1,3,3/108,G,LCa_disease_vs_ctrl,3.306634786283663
BP,GO:0019058,viral life cycle,317/18723,0.0005022150593415,0.02237318852596,0.0188550917015943,HSPA1A/HSPA1B/BST2/PCBP1/PPIB/GSN/CHMP5/LDLR,8,8/108,G,LCa_disease_vs_ctrl,3.299110268742059
BP,GO:0045600,positive regulation of fat cell differentiation,66/18723,0.0005731870143282,0.0250438633952664,0.0211058133413592,ZFP36/ADIRF/ZFP36L1/ID2,4,4/108,G,LCa_disease_vs_ctrl,3.2417036571956444
MF,GO:0044389,ubiquitin-like protein ligase binding,316/18368,0.0005926438347119,0.0475596677356357,0.0432006163724253,JUN/HSPA1A/UBC/SQSTM1/HSPA1B/TUBA1B/CKB/LRPPRC,8,8/109,G,LCa_disease_vs_ctrl,3.2272062292153376
BP,GO:0035914,skeletal muscle cell differentiation,67/18723,0.0006068953568049,0.0250487036526422,0.0211098924870997,FOS/EGR1/NUPR1/NR1D2,4,4/108,G,LCa_disease_vs_ctrl,3.2168861851684953
BP,GO:1903313,positive regulation of mRNA metabolic process,118/18723,0.000607070954779,0.0250487036526422,0.0211098924870997,ZFP36/RBM3/ZFP36L2/ZFP36L1/SF3B4,5,5/108,G,LCa_disease_vs_ctrl,3.216760545385926
BP,GO:0007517,muscle organ development,327/18723,0.000615818252424,0.0250487036526422,0.0211098924870997,FOS/EGR1/TGFBR3/NR2F2/NUPR1/SGCB/NR1D2/TAGLN,8,8/108,G,LCa_disease_vs_ctrl,3.2105474430561576
BP,GO:0071560,cellular response to transforming growth factor beta stimulus,250/18723,0.0006173976252411,0.0250487036526422,0.0211098924870997,FOS/JUN/TGFBR3/HSPA1A/ZFP36L2/LTBP4/ZFP36L1,7,7/108,G,LCa_disease_vs_ctrl,3.2094350453214804
BP,GO:0001558,regulation of cell growth,414/18723,0.0006582336813834,0.0261277579667984,0.0220192697097879,HSPA1A/HSPA1B/INHBA/BST2/LTBP4/SPAG9/RGS2/SMARCA2/RBBP7,9,9/108,G,LCa_disease_vs_ctrl,3.181619898910828
BP,GO:0060674,placenta blood vessel development,30/18723,0.0006765600463923,0.0261277579667984,0.0220192697097879,JUNB/NR2F2/HES1,3,3/108,G,LCa_disease_vs_ctrl,3.1696936526368473
BP,GO:0034605,cellular response to heat,69/18723,0.0006784937148068,0.0261277579667984,0.0220192697097879,HSPA1A/HSPA1B/DNAJB1/RBBP7,4,4/108,G,LCa_disease_vs_ctrl,3.1684541710512115
BP,GO:0071559,response to transforming growth factor beta,256/18723,0.0007100954156482,0.0268889464058788,0.0226607642291945,FOS/JUN/TGFBR3/HSPA1A/ZFP36L2/LTBP4/ZFP36L1,7,7/108,G,LCa_disease_vs_ctrl,3.148683291132577
BP,GO:0048710,regulation of astrocyte differentiation,31/18723,0.0007459182622041,0.0277823982250453,0.0234137242269077,HES1/ID2/LDLR,3,3/108,G,LCa_disease_vs_ctrl,3.1273087599517324
BP,GO:0007565,female pregnancy,193/18723,0.0008892230203476,0.032379303845985,0.0272877843290617,FOS/JUNB/NR2F2/RGS2/FOSB/CAPN2,6,6/108,G,LCa_disease_vs_ctrl,3.050989302742589
BP,GO:0045648,positive regulation of erythrocyte differentiation,33/18723,0.0008978416119265,0.032379303845985,0.0272877843290617,HSPA1A/HSPA1B/INHBA,3,3/108,G,LCa_disease_vs_ctrl,3.046800270385391
BP,GO:0046683,response to organophosphorus,131/18723,0.000973360875651,0.0337570074292709,0.0284488493855837,FOS/JUN/ZFP36L1/FOSB/AKR1C1,5,5/108,G,LCa_disease_vs_ctrl,3.011726114256845
BP,GO:0045685,regulation of glial cell differentiation,76/18723,0.0009763235226238,0.0337570074292709,0.0284488493855837,HES1/ID2/LDLR/DICER1,4,4/108,G,LCa_disease_vs_ctrl,3.010406247078782
BP,GO:0051085,chaperone cofactor-dependent protein refolding,34/18723,0.0009806172932798,0.0337570074292709,0.0284488493855837,HSPA1A/HSPA1B/DNAJB1,3,3/108,G,LCa_disease_vs_ctrl,3.0085004521975627
BP,GO:0060236,regulation of mitotic spindle organization,35/18723,0.0010680723318674,0.0362188110149669,0.0305235439382065,HSPA1A/HSPA1B/CHMP5,3,3/108,G,LCa_disease_vs_ctrl,2.971399335072286
BP,GO:1902105,regulation of leukocyte differentiation,279/18723,0.0011723328858784,0.0391503776825424,0.0329941331562938,FOS/JUN/ZFP36L2/INHBA/ZFP36L1/MAFB/ID2,7,7/108,G,LCa_disease_vs_ctrl,2.930949052163805
BP,GO:0006986,response to unfolded protein,137/18723,0.0011889859419434,0.0391503776825424,0.0329941331562938,HSPA1A/HSPA1B/DNAJB1/PPP1R15A/CREBRF,5,5/108,G,LCa_disease_vs_ctrl,2.9248232802614607
BP,GO:0048708,astrocyte differentiation,81/18723,0.0012384980440624,0.0401981079444263,0.0338771119120235,LAMC3/HES1/ID2/LDLR,4,4/108,G,LCa_disease_vs_ctrl,2.9071046749510367
BP,GO:0001892,embryonic placenta development,82/18723,0.0012962905541399,0.0414812977324776,0.0349585250997854,JUNB/NR2F2/ZFP36L1/HES1,4,4/108,G,LCa_disease_vs_ctrl,2.8872976435913897
BP,GO:0007623,circadian rhythm,210/18723,0.001372831463578,0.041652858292137,0.0351031084291129,EGR1/JUN/ID2/NR1D2/BHLHE41/FBXL3,6,6/108,G,LCa_disease_vs_ctrl,2.862382775895633
BP,GO:1903311,regulation of mRNA metabolic process,288/18723,0.0014070457020937,0.041652858292137,0.0351031084291129,ZFP36/RBM3/ZFP36L2/ZFP36L1/HNRNPM/SF3B4/RBM8A,7,7/108,G,LCa_disease_vs_ctrl,2.851691796065781
BP,GO:0006457,protein folding,212/18723,0.0014407871996525,0.041652858292137,0.0351031084291129,HSPA1A/HSPA1B/LTBP4/HSPB6/PPIB/DNAJB1,6,6/108,G,LCa_disease_vs_ctrl,2.841400158562329
BP,GO:0044403,biological process involved in symbiotic interaction,290/18723,0.0014638731133896,0.041652858292137,0.0351031084291129,JUN/HSPA1A/HSPA1B/GAPDH/PPIB/GSN/LDLR,7,7/108,G,LCa_disease_vs_ctrl,2.8344965657249768
BP,GO:0051084,'de novo' posttranslational protein folding,39/18723,0.0014666499398639,0.041652858292137,0.0351031084291129,HSPA1A/HSPA1B/DNAJB1,3,3/108,G,LCa_disease_vs_ctrl,2.833673531233179
BP,GO:0090224,regulation of spindle organization,39/18723,0.0014666499398639,0.041652858292137,0.0351031084291129,HSPA1A/HSPA1B/CHMP5,3,3/108,G,LCa_disease_vs_ctrl,2.833673531233179
BP,GO:0051346,negative regulation of hydrolase activity,379/18723,0.0015873889322105,0.0442437680783425,0.0372866077346669,GAPDH/BST2/ARL6IP1/KLF4/RGS2/BOD1/TIMP2/PPP1R15A,8,8/108,G,LCa_disease_vs_ctrl,2.799316652061543
BP,GO:0043484,regulation of RNA splicing,148/18723,0.0016734906901866,0.0442437680783425,0.0372866077346669,HSPA1A/RBM3/SRSF5/SF3B4/RBM8A,5,5/108,G,LCa_disease_vs_ctrl,2.776376699327616
BP,GO:0051384,response to glucocorticoid,148/18723,0.0016734906901866,0.0442437680783425,0.0372866077346669,FOS/ZFP36/ZFP36L2/ZFP36L1/FOSB,5,5/108,G,LCa_disease_vs_ctrl,2.776376699327616
BP,GO:0031647,regulation of protein stability,298/18723,0.0017093552546575,0.0442437680783425,0.0372866077346669,HSPA1A/HSPA1B/GAPDH/PPIB/GSN/PFN2/FBXL3,7,7/108,G,LCa_disease_vs_ctrl,2.7671676686404094
BP,GO:0048511,rhythmic process,298/18723,0.0017093552546575,0.0442437680783425,0.0372866077346669,EGR1/JUN/INHBA/ID2/NR1D2/BHLHE41/FBXL3,7,7/108,G,LCa_disease_vs_ctrl,2.7671676686404094
BP,GO:0042692,muscle cell differentiation,384/18723,0.0017234394354365,0.0442437680783425,0.0372866077346669,MYH11/SPAG9/HES1/RGS2/ID2/SGCB/CAPN2/BHLHE41,8,8/108,G,LCa_disease_vs_ctrl,2.763603973827188
BP,GO:0044706,multi-multicellular organism process,220/18723,0.0017386219907072,0.0442437680783425,0.0372866077346669,FOS/JUNB/NR2F2/RGS2/FOSB/CAPN2,6,6/108,G,LCa_disease_vs_ctrl,2.759794831565557
BP,GO:0045786,negative regulation of cell cycle,385/18723,0.0017517264413916,0.0442437680783425,0.0372866077346669,ZFP36L2/INHBA/NR2F2/KLF4/ZFP36L1/NUPR1/TIMP2/KANK2,8,8/108,G,LCa_disease_vs_ctrl,2.7565337145322197
BP,GO:0045687,positive regulation of glial cell differentiation,42/18723,0.0018193953518512,0.0451496841805897,0.0380500720554543,HES1/ID2/DICER1,3,3/108,G,LCa_disease_vs_ctrl,2.7400729191492403
BP,GO:0045638,negative regulation of myeloid cell differentiation,90/18723,0.0018282442537914,0.0451496841805897,0.0380500720554543,ZFP36/INHBA/ZFP36L1/MAFB,4,4/108,G,LCa_disease_vs_ctrl,2.7379657828978945
BP,GO:0016049,cell growth,482/18723,0.0018963692312896,0.0451548618432282,0.0380544355507932,HSPA1A/HSPA1B/INHBA/BST2/LTBP4/SPAG9/RGS2/SMARCA2/RBBP7,9,9/108,G,LCa_disease_vs_ctrl,2.722077099751281
BP,GO:0055006,cardiac cell development,91/18723,0.0019039122324719,0.0451548618432282,0.0380544355507932,TGFBR3/MYH11/RGS2/SGCB,4,4/108,G,LCa_disease_vs_ctrl,2.7203530758211336
BP,GO:0010001,glial cell differentiation,225/18723,0.0019471777068088,0.0451548618432282,0.0380544355507932,MXRA8/LAMC3/HES1/ID2/LDLR/DICER1,6,6/108,G,LCa_disease_vs_ctrl,2.710594411312729
BP,GO:0006458,'de novo' protein folding,43/18723,0.0019477009069702,0.0451548618432282,0.0380544355507932,HSPA1A/HSPA1B/DNAJB1,3,3/108,G,LCa_disease_vs_ctrl,2.710477733507372
BP,GO:0014014,negative regulation of gliogenesis,43/18723,0.0019477009069702,0.0451548618432282,0.0380544355507932,HES1/LDLR/DICER1,3,3/108,G,LCa_disease_vs_ctrl,2.710477733507372
BP,GO:2001239,regulation of extrinsic apoptotic signaling pathway in absence of ligand,43/18723,0.0019477009069702,0.0451548618432282,0.0380544355507932,HSPA1A/HSPA1B/INHBA,3,3/108,G,LCa_disease_vs_ctrl,2.710477733507372
BP,GO:0007519,skeletal muscle tissue development,155/18723,0.0020490444980189,0.0468236454218501,0.0394608094062015,FOS/EGR1/NR2F2/NUPR1/NR1D2,5,5/108,G,LCa_disease_vs_ctrl,2.688448610152136
BP,GO:0051591,response to cAMP,93/18723,0.0020617076944623,0.0468236454218501,0.0394608094062015,FOS/JUN/ZFP36L1/FOSB,4,4/108,G,LCa_disease_vs_ctrl,2.685772908247834
BP,GO:0060711,labyrinthine layer development,44/18723,0.0020815088853903,0.0468236454218501,0.0394608094062015,JUNB/ZFP36L1/HES1,3,3/108,G,LCa_disease_vs_ctrl,2.681621730889267
BP,GO:0035051,cardiocyte differentiation,156/18723,0.002107328382782,0.0469397067223607,0.0395586205188909,TGFBR3/MYH11/HES1/RGS2/SGCB,5,5/108,G,LCa_disease_vs_ctrl,2.6762677834626936
BP,GO:0071364,cellular response to epidermal growth factor stimulus,45/18723,0.0022209006816419,0.0489891878513638,0.0412858287164709,ZFP36/ZFP36L2/ZFP36L1,3,3/108,G,LCa_disease_vs_ctrl,2.6534708626038537
