Group_Row,Names_Row
Glycosis,HK1
Glycosis,HK2
Glycosis,HK3
Glycosis,GCK
Glycosis,GPI
Glycosis,PFKM
Glycosis,PFKP
Glycosis,PFKL
Glycosis,ALDOC
Glycosis,ALDOB
Glycosis,ALDOA
Glycosis,TPI1
Glycosis,PGK1
Glycosis,PGAM1
Glycosis,ENO1
Glycosis,ENO2
Glycosis,ENO3
Glycosis,PKLR
Glycosis,PKM
Glycosis,LDHB
Glycosis,LDHA
Glycosis,PDHA1
Glycosis,PDHB
Glycosis,DLAT
Glycosis,DLD
Glycosis,PFKFB3
Glycosis,PFKFB4
Glycosis,SLC2A1
Glycosis,SLC2A3
Glycosis,SLC2A4
TCA cycle,PC
TCA cycle,CS
TCA cycle,IDH3B
TCA cycle,IDH3G
TCA cycle,IDH3A
TCA cycle,OGDH
TCA cycle,DLST
TCA cycle,IDH1
TCA cycle,IDH2
TCA cycle,SUCLG1
TCA cycle,SDHB
TCA cycle,SUCLG2
TCA cycle,SUCLA2
TCA cycle,MPC1
TCA cycle,MPC2
TCA cycle,FH
Oxidative phosphorylation,ATP5F1A
Oxidative phosphorylation,ATP5F1B
Oxidative phosphorylation,ATP5F1C
Oxidative phosphorylation,ATP5F1D
Oxidative phosphorylation,ATP5F1E
Oxidative phosphorylation,ATP5MC1
Oxidative phosphorylation,ATP5MC2
Oxidative phosphorylation,ATP5MC3
Oxidative phosphorylation,ATP5ME
Oxidative phosphorylation,ATP5MF
Oxidative phosphorylation,ATP5MG
Oxidative phosphorylation,ATP5PB
Oxidative phosphorylation,ATP5PD
Oxidative phosphorylation,ATP5PF
Oxidative phosphorylation,ATP5PO
Oxidative phosphorylation,COQ2
Oxidative phosphorylation,COQ3
Oxidative phosphorylation,COQ4
Oxidative phosphorylation,COQ5
Oxidative phosphorylation,COQ6
Oxidative phosphorylation,COQ7
Oxidative phosphorylation,COQ8A
Oxidative phosphorylation,COQ8B
Oxidative phosphorylation,COQ9
Oxidative phosphorylation,COX4I1
Oxidative phosphorylation,COX4I2
Oxidative phosphorylation,COX5A
Oxidative phosphorylation,COX5B
Oxidative phosphorylation,COX6A1
Oxidative phosphorylation,COX6A2
Oxidative phosphorylation,COX6B1
Oxidative phosphorylation,COX6B2
Oxidative phosphorylation,COX6C
Oxidative phosphorylation,COX7A1
Oxidative phosphorylation,COX7A2
Oxidative phosphorylation,COX7A2L
Oxidative phosphorylation,COX7B
Oxidative phosphorylation,COX7B2
Oxidative phosphorylation,COX7C
Oxidative phosphorylation,COX8A
Oxidative phosphorylation,CYC1
Oxidative phosphorylation,CYCS
Oxidative phosphorylation,MT-ATP6
Oxidative phosphorylation,MT-ATP8
Oxidative phosphorylation,MT-CO1
Oxidative phosphorylation,MT-CO2
Oxidative phosphorylation,MT-CO3
Oxidative phosphorylation,MT-CYB
Oxidative phosphorylation,MT-ND1
Oxidative phosphorylation,MT-ND2
Oxidative phosphorylation,MT-ND3
Oxidative phosphorylation,MT-ND4
Oxidative phosphorylation,MT-ND4L
Oxidative phosphorylation,MT-ND5
Oxidative phosphorylation,MT-ND6
Oxidative phosphorylation,NDUFA1
Oxidative phosphorylation,NDUFA10
Oxidative phosphorylation,NDUFA11
Oxidative phosphorylation,NDUFA12
Oxidative phosphorylation,NDUFA13
Oxidative phosphorylation,NDUFA2
Oxidative phosphorylation,NDUFA3
Oxidative phosphorylation,NDUFA4
Oxidative phosphorylation,NDUFA5
Oxidative phosphorylation,NDUFA6
Oxidative phosphorylation,NDUFA7
Oxidative phosphorylation,NDUFA8
Oxidative phosphorylation,NDUFA9
Oxidative phosphorylation,NDUFB1
Oxidative phosphorylation,NDUFB10
Oxidative phosphorylation,NDUFB11
Oxidative phosphorylation,NDUFB2
Oxidative phosphorylation,NDUFB3
Oxidative phosphorylation,NDUFB4
Oxidative phosphorylation,NDUFB5
Oxidative phosphorylation,NDUFB6
Oxidative phosphorylation,NDUFB7
Oxidative phosphorylation,NDUFB8
Oxidative phosphorylation,NDUFB9
Oxidative phosphorylation,NDUFC1
Oxidative phosphorylation,NDUFC2
Oxidative phosphorylation,NDUFS1
Oxidative phosphorylation,NDUFS2
Oxidative phosphorylation,NDUFS3
Oxidative phosphorylation,NDUFS4
Oxidative phosphorylation,NDUFS5
Oxidative phosphorylation,NDUFS6
Oxidative phosphorylation,NDUFS8
Oxidative phosphorylation,NDUFV1
Oxidative phosphorylation,NDUFV2
Oxidative phosphorylation,NDUFV3
Oxidative phosphorylation,SDHA
Oxidative phosphorylation,SDHAF1
Oxidative phosphorylation,SDHAF2
Oxidative phosphorylation,SDHC
Oxidative phosphorylation,SDHD
Oxidative phosphorylation,UQCRB
Oxidative phosphorylation,UQCRC1
Oxidative phosphorylation,UQCRC2
Oxidative phosphorylation,UQCRFS1
Oxidative phosphorylation,UQCRQ